id,domain_content,domain_data,domain_software,family,is_generic,maintainer,od_conformance,osd_conformance,status,title,url,legacy_ids
RPL-1.5,False,False,True,,,,not reviewed,approved,active,Reciprocal Public License 1.5,https://opensource.org/licenses/RPL-1.5,
RPSL-1.0,False,False,True,,,,not reviewed,approved,active,RealNetworks Public Source License 1.0,https://opensource.org/licenses/RPSL-1.0,
RSCPL,False,False,True,,,,not reviewed,approved,active,Ricoh Source Code Public License,https://opensource.org/licenses/RSCPL,
SISSL,False,False,True,,,,not reviewed,approved,retired,Sun Industry Standards Source License 1.1,https://opensource.org/licenses/SISSL,['sun-issl']
SPL-1.0,False,False,True,,,,not reviewed,approved,active,Sun Public License 1.0,https://opensource.org/licenses/SPL-1.0,
SimPL-2.0,False,False,True,,,,not reviewed,approved,active,Simple Public License 2.0,https://opensource.org/licenses/SimPL-2.0,
Sleepycat,False,False,True,,,Oracle Corporation,not reviewed,approved,active,Sleepycat License,https://opensource.org/licenses/Sleepycat,
Talis,True,False,False,,,,approved,not reviewed,active,Talis Community License,https://opendefinition.org/licenses/tcl,
Unlicense,False,False,True,,,,not reviewed,not reviewed,active,Unlicense,https://unlicense.org/,
VSL-1.0,False,False,True,,,,not reviewed,approved,active,Vovida Software License 1.0,https://opensource.org/licenses/VSL-1.0,
W3C,False,False,True,,,World Wide Web Consortium,not reviewed,approved,active,W3C License,https://opensource.org/licenses/W3C,
WXwindows,False,False,True,,,wxWidgets Team,not reviewed,approved,active,wxWindows Library License,https://opensource.org/licenses/WXwindows,
Watcom-1.0,False,False,True,,,,not reviewed,approved,active,Sybase Open Watcom Public License 1.0,https://opensource.org/licenses/Watcom-1.0,
Xnet,False,False,True,,,,not reviewed,approved,active,X.Net License,https://opensource.org/licenses/Xnet,
ZPL-2.0,False,False,True,,,Zope Foundation,not reviewed,approved,active,Zope Public License 2.0,https://opensource.org/licenses/ZPL-2.0,
Zlib,False,False,True,,,,not reviewed,approved,active,zlib/libpng license,https://opensource.org/licenses/Zlib,['zlib-license']
dli-model-use,False,True,False,,,,not reviewed,not reviewed,retired,Statistics Canada: Data Liberation Initiative (DLI) - Model Data Use Licence,http://data.library.ubc.ca/datalib/geographic/DMTI/license.html,
geogratis,False,True,False,,,,,not reviewed,retired,Geogratis,http://geogratis.gc.ca/geogratis/licenceGG,
hesa-withrights,True,False,False,,,,approved,not reviewed,active,Higher Education Statistics Agency Copyright with data.gov.uk rights,https://web.archive.org/web/20131009082944/http://www.hesa.ac.uk/index.php?option=com_content&task=view&id=2619&Itemid=209,
localauth-withrights,True,False,False,,,,approved,not reviewed,active,Local Authority Copyright with data.gov.uk rights,,
